BALANCESHEETID,ORGANCODE,COMTYPECODE,TICKER,YEARREPORT,LENGTHREPORT,LENGTHSERIES,STARTDATE,ENDDATE,SOURCENAME,NOTE,PUBLICDATE,ISAUDIT,BSA53,BSA2,BSB97,BSB98,BSB99,BSB100,BSB101,BSB102,BSB103,BSB104,BSB105,BSB106,BSB107,BSB108,BSB109,BSA43,BSA44,BSA45,BSA46,BSA47,BSA29,BSA30,BSA33,BSA36,BSA40,BSB110,BSA96,BSA54,BSB111,BSB112,BSB113,BSB114,BSB115,BSB116,BSB117,BSA78,BSB118,BSA80,BSB119,BSA81,BSA83,BSB120,BSA82,BSB121,BSA85,BSA84,BSA90,BSA95,BSB157,BSB122,BSB123,BSB124,BSB125,BSB126,BSB158,BSB127,BSB128,BSB129,BSB130,BSB131,BSB132,BSB258,BSB259,BSB260,BSB261,BSB262,BSB263,BSA276,BSA277,BSA31,BSA32,BSA34,BSA35,BSA37,BSA38,BSA41,BSA42,BSB264,BSB265,BSB266,BSB267,BSB268,BSB269,BSB270,BSB271,BSB272,BSB273,BSB274,BSB275,BSA177,BSA178,BSA210,BSB179,BSB180,BSB181,BSB182,BSB183,BSB184,BSB185,BSB186,STATUS,CREATEDATE,UPDATEDATE,W_DATASOURCE_NUM_ID,W_INSERT_DT,W_INTEGRATION_ID,W_BATCH_ID
1766671,WEB,NH,WEB,2010,5,,2010-01-01,2010-12-31,BCTC KT 2010,,2011-06-29,True,9335004575492.0,45360714138.0,648586104213.0,970752771131.0,0.0,0.0,0.0,0.0,3942621794392.0,3972547121115.0,-29925326723.0,2385983970059.0,516946610000.0,1870088985059.0,-1051625000.0,5580000000.0,0.0,0.0,5580000000.0,0.0,138317713628.0,60975633196.0,0.0,77342080432.0,0.0,1197801507931.0,9335004575492.0,7249538295630.0,68582783225.0,1282116304241.0,5593260167411.0,0.0,84377570228.0,127333830326.0,93867640199.0,2085466279862.0,1993434350000.0,2000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,47226178954.0,0.0,0.0,44805750908.0,0.0,77120582151.0,56894981797.0,56894981797.0,0.0,0.0,20225600354.0,0.0,8180694000.0,7837726085.0,1260000000.0,0.0,2947180269.0,-182390934.0,970752771131.0,,,,,,0.0,0.0,60975633196.0,,0.0,,77342080432.0,,0.0,,,,,1197801507931.0,,,1282116304241.0,,,,93867640199.0,,44805750908.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:58.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1766673,WEB,NH,WEB,2009,5,,2009-01-01,2009-12-31,BCTC KT 2010,,2011-06-29,True,10314177170987.0,13434942504.0,86164743805.0,6131256765022.0,0.0,0.0,0.0,0.0,1785004136846.0,1791247603846.0,-6243467000.0,1850214400000.0,0.0,1850214400000.0,0.0,4040000000.0,0.0,0.0,4040000000.0,0.0,118916755217.0,51068996301.0,0.0,67847758916.0,0.0,325145427593.0,10314177170987.0,9177349105012.0,0.0,5658642064289.0,3309043883929.0,0.0,44588004510.0,0.0,165075152284.0,1136828065975.0,993434350000.0,1000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,39973778954.0,0.0,0.0,103419937021.0,0.0,12605360750.0,0.0,0.0,0.0,0.0,12605360750.0,0.0,991344930.0,4153222820.0,1250793000.0,0.0,6210000000.0,0.0,6131256765022.0,,,,,,0.0,0.0,51068996301.0,,0.0,,67847758916.0,,0.0,,,,,325145427593.0,,,5658642064289.0,,,,165075152284.0,,103419937021.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:57.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1766863,WEB,NH,WEB,2011,2,,2011-04-01,2011-06-30,OTC - BCTC Q2/2011,,2011-09-21,False,18087463546974.0,78350091371.0,188644920751.0,7478507636732.0,0.0,0.0,0.0,0.0,4413221068999.0,4449756917032.0,-36535848033.0,2391865450909.0,521081590850.0,1871835485059.0,-1051625000.0,34714259085.0,0.0,0.0,34714259085.0,0.0,148891209404.0,68886401925.0,0.0,80004807479.0,0.0,3353268909723.0,18087463546974.0,14877714089374.0,0.0,4023522781871.0,10377396372342.0,0.0,89180672235.0,230624859148.0,156989403778.0,3209749457600.0,2993434350000.0,3000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,47319901429.0,-8.0,0.0,168995206179.0,0.0,127449305979.0,1224709200.0,0.0,0.0,1224709200.0,126224596779.0,0.0,0.0,0.0,0.0,0.0,126224596779.0,0.0,7478507636732.0,,,,,,0.0,0.0,68886401925.0,,0.0,,80004807479.0,,0.0,,,,,3353268909723.0,,,4023522781871.0,,,,156989403778.0,,168995206179.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:56.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1766925,WEB,NH,WEB,2008,3,,2008-07-01,2008-09-30,OTC- BCTC Q3/2008,,2011-12-19,False,1969747691739.0,11566775200.0,80874587376.0,426189660681.0,0.0,0.0,0.0,0.0,1258816006159.0,1259775714159.0,-959708000.0,1346600000.0,0.0,1346600000.0,0.0,33685000000.0,0.0,0.0,33685000000.0,0.0,51835680642.0,21431705529.0,0.0,30403975113.0,0.0,105433381681.0,1969747691739.0,924965914854.0,0.0,238840488399.0,601675244280.0,0.0,57751676436.0,0.0,26698505739.0,1044781776885.0,1002000000000.0,1000000000000.0,0.0,2000000000.0,0.0,0.0,0.0,3691259436.0,634535.0,0.0,39089882914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426189660681.0,,,,,,0.0,0.0,21431705529.0,,0.0,,30403975113.0,,0.0,,,,,105433381681.0,,,238840488399.0,,,,26698505739.0,,39089882914.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:53.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1766952,WEB,NH,WEB,2011,5,,2011-01-01,2011-12-31,WEB- BCTC NAM 2011,,2012-03-27,True,20550641863300.0,57242215873.0,44926659046.0,3662323686988.0,0.0,0.0,0.0,0.0,8810997771049.0,8854234440084.0,-43236669035.0,2735853796534.0,2739588142384.0,0.0,-3734345850.0,185863139179.0,0.0,0.0,187714259085.0,-1851119906.0,1265745397745.0,86122781760.0,0.0,1179622615985.0,0.0,3787689196886.0,20550641863300.0,17383813654234.0,417559949356.0,3815165525634.0,12629595269155.0,0.0,82658204075.0,200087062929.0,238747643085.0,3162784765019.0,2993434350000.0,3000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,64884178954.0,0.0,0.0,104466236065.0,4043444047.0,132014381393.0,10186500000.0,0.0,0.0,10186500000.0,121827881393.0,0.0,0.0,0.0,0.0,0.0,121827881393.0,0.0,3662323686988.0,,,,,,0.0,0.0,86122781760.0,,0.0,,1179622615985.0,,0.0,,,,,3787689196886.0,,,3815165525634.0,,,,238747643085.0,,104466236065.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:55.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1767018,WEB,NH,WEB,2012,2,,2012-04-01,2012-06-30,OTC_BCTC Q2\2012,,2012-10-16,False,14268474439908.0,91349743964.0,72012321253.0,1424073414157.0,0.0,0.0,0.0,0.0,4929861477915.0,4978261325948.0,-48399848033.0,2831425584750.0,2833941805600.0,0.0,-2516220850.0,185863139179.0,0.0,0.0,187714259085.0,-1851119906.0,255005819133.0,82138149996.0,0.0,172867669137.0,0.0,4478882939557.0,14268474439908.0,10987096805110.0,296554482624.0,1165041022792.0,9341515978774.0,0.0,76865737138.0,25701373.0,107093882409.0,3277375722347.0,2993434350000.0,3000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,47318701429.0,5.0,0.0,236622670913.0,4001912451.0,22196903178.0,1414460722.0,0.0,0.0,1414460722.0,20782442456.0,0.0,0.0,0.0,0.0,0.0,20782442456.0,0.0,1424073414157.0,,,,,,0.0,0.0,82138149996.0,,0.0,,172867669137.0,,0.0,,,,,4478882939557.0,,,1165041022792.0,,,,107093882409.0,,236622670913.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:54.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1767155,WEB,NH,WEB,2012,5,,2012-01-01,2012-12-31,WEB- BCTC KT 2012,,2013-05-10,True,15122565361451.0,38809772793.0,869313689501.0,1529103905099.0,0.0,0.0,0.0,0.0,5147982787058.0,5253894919045.0,-105912131987.0,2900893690324.0,2903400713674.0,0.0,-2507023350.0,134850914.0,0.0,0.0,2014259085.0,-1879408171.0,1207138643166.0,83624112712.0,0.0,1123514530454.0,0.0,3429188022596.0,15122565361451.0,11919263094986.0,0.0,752688724910.0,10929952238611.0,0.0,58957123353.0,21216444.0,177643791668.0,3199346778366.0,2993434350000.0,3000000000000.0,0.0,2000000000.0,-8565650000.0,0.0,0.0,64884178954.0,0.0,0.0,141028249412.0,3955488099.0,7302105740.0,0.0,0.0,0.0,0.0,7302105740.0,0.0,0.0,0.0,0.0,0.0,7302105740.0,0.0,1529103905099.0,,,,,,0.0,0.0,83624112712.0,,0.0,,1123514530454.0,,0.0,,,,,3429188022596.0,,,752688724910.0,,,,177643791668.0,,141028249412.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:36:49.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
1767183,WEB,NH,WEB,2008,5,,2008-01-01,2008-12-31,BCTC 2009,,2013-08-30,True,2661681000000.0,9932000000.0,161733000000.0,866541000000.0,0.0,0.0,0.0,0.0,1358741000000.0,1364529000000.0,-5788000000.0,224000000.0,0.0,224000000.0,0.0,2500000000.0,0.0,0.0,2500000000.0,0.0,112021000000.0,50302000000.0,0.0,61719000000.0,0.0,149989000000.0,2661681000000.0,1560003000000.0,0.0,619619000000.0,859372000000.0,0.0,32630000000.0,0.0,48382000000.0,1101678000000.0,997025000000.0,1000000000000.0,0.0,2000000000.0,-4975000000.0,0.0,0.0,22589000000.0,0.0,0.0,82064000000.0,0.0,6781000000.0,0.0,0.0,0.0,0.0,6781000000.0,0.0,0.0,3751000000.0,45000000.0,0.0,2985000000.0,0.0,866541000000.0,,,,,,0.0,0.0,50302000000.0,,0.0,,61719000000.0,,0.0,,,,,149989000000.0,,,619619000000.0,,,,48382000000.0,,82064000000.0,,,,,,,,,,,1.0,2015-07-18 00:00:00.000,2015-07-18 08:37:00.000,2,2022-09-16 09:50:29.967,,TOOLS_MIGRATION_20221609
2969858,HDB,NH,HDB,2018,4,3.0,2018-10-01,2018-12-31,HDB - BCTC Q4/2018,,2019-01-30,False,216107406000000.0,2096395000000.0,5385604000000.0,32425544000000.0,2596626000000.0,2603376000000.0,-6750000000.0,208294000000.0,121791723000000.0,123131648000000.0,-1339925000000.0,42694913000000.0,25754996000000.0,17888621000000.0,-948704000000.0,164931000000.0,0.0,0.0,185117000000.0,-20186000000.0,1615456000000.0,569227000000.0,0.0,1046229000000.0,51955000000.0,7075965000000.0,216107406000000.0,199279266000000.0,7911883000000.0,40689261000000.0,128060094000000.0,0.0,3045666000000.0,14927000000000.0,4645362000000.0,16828140000000.0,11852342000000.0,9810000000000.0,89000000.0,2042255000000.0,-2000000.0,0.0,0.0,775800000000.0,0.0,0.0,3007022000000.0,0.0,8237577000000.0,4891115000000.0,0.0,0.0,4891115000000.0,3346462000000.0,8564000000.0,0.0,0.0,0.0,0.0,3337898000000.0,81436237000000.0,30695162000000.0,1730382000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1171919000000.0,-602692000000.0,0.0,0.0,1240443000000.0,-194214000000.0,52347000000.0,-392000000.0,2024124000000.0,3519215000000.0,0.0,1571947000000.0,27852000000.0,-39321000000.0,22837748000000.0,17851513000000.0,3143348000000.0,1585000000.0,1500429000000.0,0.0,0.0,3007022000000.0,1192976000000.0,74523122000000.0,4414221000000.0,3471919000000.0,66636982000000.0,0.0,0.0,4891115000000.0,2022000000000.0,1.0,2019-01-30 21:29:40.627,2019-01-30 21:29:40.627,2,2021-06-02 08:05:07.700,,
1994880,HDB,NH,HDB,2017,2,3.0,2017-04-01,2017-06-30,OTC_BCTC Q2/2017,,2017-11-07,True,169528338000000.0,1361279000000.0,5583069000000.0,22723038000000.0,397000000000.0,400000000000.0,-3000000000.0,0.0,95875982000000.0,96945442000000.0,-1069460000000.0,32459476000000.0,25016638000000.0,8508655000000.0,-1065817000000.0,372427000000.0,0.0,0.0,485658000000.0,-113231000000.0,1315165000000.0,487161000000.0,0.0,828004000000.0,58444000000.0,9376969000000.0,169528338000000.0,158879493000000.0,153157000000.0,25107077000000.0,115710752000000.0,88896000000.0,2907267000000.0,11353000000000.0,3559344000000.0,10648845000000.0,8104686000000.0,8100000000000.0,89000000.0,4599000000.0,-2000000.0,0.0,0.0,463362000000.0,-4010000000.0,0.0,1364964000000.0,0.0,3029567000000.0,0.0,0.0,0.0,0.0,3029567000000.0,8762000000.0,0.0,0.0,0.0,0.0,3020805000000.0,43598957000000.0,20324082000000.0,2398956000000.0,0.0,5489000000.0,8127000000.0,-2638000000.0,0.0,0.0,1008283000000.0,-521122000000.0,0.0,0.0,1000122000000.0,-172118000000.0,58649000000.0,-205000000.0,4868298000000.0,3019485000000.0,17311000000.0,1506902000000.0,36496000000.0,-35027000000.0,17593161000000.0,7513916000000.0,2752389000000.0,0.0,806955000000.0,0.0,0.0,1364964000000.0,719843000000.0,42532862000000.0,2990506000000.0,2062100000000.0,37480256000000.0,0.0,0.0,1066095000000.0,0.0,1.0,2017-08-03 20:25:01.660,2019-08-01 09:10:39.420,2,2019-12-11 09:50:20.887,,
