INCOMESTATEMENTID,ORGANCODE,COMTYPECODE,TICKER,YEARREPORT,LENGTHREPORT,LENGTHSERIES,STARTDATE,ENDDATE,SOURCENAME,NOTE,PUBLICDATE,ISAUDIT,STATUS,CREATEDATE,UPDATEDATE,ISB25,ISB26,ISB27,ISB28,ISB29,ISB30,ISB31,ISB32,ISB33,ISB34,ISB35,ISB36,ISB37,ISB38,ISB39,ISB40,ISB41,ISA16,ISA19,ISA17,ISA18,ISA20,ISA21,ISA22,ISA23,W_DATASOURCE_NUM_ID,W_INSERT_DT,W_INTEGRATION_ID,W_BATCH_ID
1795283,WEB,NH,WEB,2010,5,,2010-01-01,2010-12-31,BCTC KT 2010,,2011-05-28,True,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:46.000,781048883962.0,-582282204516.0,198766679446.0,5600470734.0,-3056252698.0,2544218036.0,25600570905.0,-14356200.0,-1051625000.0,3016451003.0,-3354399735.0,-337948732.0,0.0,225507538455.0,-132742082657.0,92765455798.0,-25392381033.0,67373074765.0,-16287992878.0,-16288665890.0,673012.0,51085081887.0,0.0,51085081887.0,385.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795284,WEB,NH,WEB,2009,5,,2009-01-01,2009-12-31,bctc kt 2010,,2011-05-28,True,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:47.000,398627172546.0,-234795276228.0,163831896318.0,63213139568.0,-942865990.0,62270273578.0,18260600079.0,0.0,0.0,527289251.0,-595050502.0,-67761251.0,0.0,244295008724.0,-83689923919.0,160605084805.0,-455835000.0,160149249805.0,-40648011079.0,-40770338067.0,122326988.0,119501238726.0,0.0,119501238726.0,1202.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795286,WEB,NH,WEB,2008,5,,2008-01-01,2008-12-31,BCTC 2008,,2011-05-28,True,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:48.000,243470000000.0,-80094000000.0,163376000000.0,5241000000.0,-2016000000.0,3225000000.0,1607000000.0,16315000000.0,0.0,2975000000.0,-731000000.0,2244000000.0,0.0,186767000000.0,-44325000000.0,142442000000.0,-4383000000.0,138059000000.0,-38691000000.0,-38205000000.0,-486000000.0,99368000000.0,0.0,99368000000.0,1169.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795351,WEB,NH,WEB,2011,2,,2011-04-01,2011-06-30,OTC - BCTC Q2/2011,,2011-09-21,False,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:42.000,506238989198.0,-352594238189.0,153644751009.0,4916066480.0,-1752969040.0,3163097440.0,9365789200.0,0.0,0.0,1452966747.0,-1491458.0,1451475289.0,0.0,167625112938.0,-48121599074.0,119503513864.0,-6245000000.0,113258513864.0,-14849770320.0,-14849770320.0,0.0,98408743544.0,0.0,98408743544.0,0.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795360,WEB,NH,WEB,2011,1,,2011-01-01,2011-03-31,OTC - BCTC Q1/2011,,2011-09-21,False,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:43.000,303902211333.0,-239238677826.0,64663533507.0,3103333577.0,-1042082876.0,2061250701.0,27565513607.0,0.0,0.0,8658456282.0,-23796331.0,8634659951.0,0.0,102924957766.0,-42869802861.0,60055154905.0,0.0,60055154905.0,-164018406.0,-164018406.0,0.0,59891136499.0,0.0,59891136499.0,0.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795444,WEB,NH,WEB,2011,5,,2011-01-01,2011-12-31,WEB- BCTC NAM 2011,,2012-03-27,True,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:41.000,2022022390289.0,-1609165653828.0,412856736461.0,10620621510.0,-5340954839.0,5279666671.0,31098916298.0,0.0,-2682720850.0,11889616205.0,-3183039044.0,8706577161.0,-746799906.0,454512375835.0,-280488543941.0,174023831894.0,-13464719036.0,160559112858.0,-39799271001.0,-39799271001.0,0.0,120759841857.0,-6789700.0,120753052157.0,424.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795530,WEB,NH,WEB,2012,2,,2012-04-01,2012-06-30,OTC_BCTC Q2\2012,,2012-10-15,False,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:38.000,518939295039.0,-347196037702.0,171743257337.0,455772496.0,-4379943811.0,-3924171315.0,-452131023.0,0.0,0.0,10362968458.0,-1118802987.0,9244165471.0,0.0,176611120470.0,-140630344305.0,35980776165.0,-15202000000.0,20778776165.0,-18642468255.0,-18642468255.0,0.0,2136307910.0,-23950395.0,2112357515.0,0.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795538,WEB,NH,WEB,2012,1,,2012-01-01,2012-03-31,OTC_BCTC Q2/2012,,2012-10-15,False,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:39.000,569954454169.0,-434541587494.0,135412866675.0,523161917.0,-1107198537.0,-584036620.0,-1282997148.0,606096000.0,0.0,6619483093.0,-603336099.0,6016146994.0,0.0,140168075901.0,-53890095661.0,86277980240.0,0.0,86277980240.0,0.0,0.0,0.0,86277980240.0,-17581201.0,86260399039.0,0.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1795661,WEB,NH,WEB,2012,5,,2012-01-01,2012-12-31,WEB- BCTC KT 2012,,2013-05-10,True,1.0,2015-07-18 00:00:00.000,2015-07-18 09:16:40.000,1835068720562.0,-1482992327656.0,352076392906.0,5037616844.0,-8647140872.0,-3609524028.0,-1189271860.0,0.0,44801308329.0,15282745310.0,-4193042923.0,11089702387.0,0.0,403168607734.0,-284577160623.0,118591447111.0,-67607564918.0,50983882193.0,-14509824794.0,-354772127.0,-14155052667.0,36474057399.0,87955948.0,36562013347.0,122.0,2,2022-09-16 09:50:42.077,,TOOLS_MIGRATION_20221609
1903061,HDB,NH,HDB,2017,1,3.0,2017-01-01,2017-03-31,OTC_BCTC Q1/2017,,2017-05-15,False,1.0,2017-05-04 20:56:58.990,2017-05-15 16:05:15.760,3418804000000.0,-2062707000000.0,1356097000000.0,56903000000.0,-24638000000.0,32265000000.0,34006000000.0,-1452000000.0,43105000000.0,27145000000.0,-5078000000.0,22067000000.0,495000000.0,1486583000000.0,-893980000000.0,592603000000.0,-205256000000.0,387347000000.0,-77751000000.0,-77751000000.0,0.0,309596000000.0,-42438000000.0,267158000000.0,0.0,2,2019-10-18 17:53:42.070,,
