INCOMESTATEMENTID,ORGANCODE,COMTYPECODE,TICKER,YEARREPORT,LENGTHREPORT,LENGTHSERIES,STARTDATE,ENDDATE,SOURCENAME,NOTE,PUBLICDATE,ISAUDIT,STATUS,CREATEDATE,UPDATEDATE,ISB25,ISB26,ISB27,ISB28,ISB29,ISB30,ISB31,ISB32,ISB33,ISB34,ISB35,ISB36,ISB37,ISB38,ISB39,ISB40,ISB41,ISA16,ISA19,ISA17,ISA18,ISA20,ISA21,ISA22,ISA23,W_DATASOURCE_NUM_ID,W_INSERT_DT,W_INTEGRATION_ID,W_BATCH_ID
1795283,WEB,NH,WEB,2010,5,NULL,2010-01-01 00:00:00.000,2010-12-31 00:00:00.000,BCTC KT 2010,NULL,2011-05-28 00:00:00.000,True,1,2015-07-18 00:00:00.000,2015-07-18 09:16:46.000,781048883962.0000000000,-582282204516.0000000000,198766679446.0000000000,5600470734.0000000000,-3056252698.0000000000,2544218036.0000000000,25600570905.0000000000,-14356200.0000000000,-1051625000.0000000000,3016451003.0000000000,-3354399735.0000000000,-337948732.0000000000,0.0000000000,225507538455.0000000000,-132742082657.0000000000,92765455798.0000000000,-25392381033.0000000000,67373074765.0000000000,-16287992878.0000000000,-16288665890.0000000000,673012.0000000000,51085081887.0000000000,0.0000000000,51085081887.0000000000,385.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795284,WEB,NH,WEB,2009,5,NULL,2009-01-01 00:00:00.000,2009-12-31 00:00:00.000,bctc kt 2010,NULL,2011-05-28 00:00:00.000,True,1,2015-07-18 00:00:00.000,2015-07-18 09:16:47.000,398627172546.0000000000,-234795276228.0000000000,163831896318.0000000000,63213139568.0000000000,-942865990.0000000000,62270273578.0000000000,18260600079.0000000000,0.0000000000,0.0000000000,527289251.0000000000,-595050502.0000000000,-67761251.0000000000,0.0000000000,244295008724.0000000000,-83689923919.0000000000,160605084805.0000000000,-455835000.0000000000,160149249805.0000000000,-40648011079.0000000000,-40770338067.0000000000,122326988.0000000000,119501238726.0000000000,0.0000000000,119501238726.0000000000,1202.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795286,WEB,NH,WEB,2008,5,NULL,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000,BCTC 2008,NULL,2011-05-28 00:00:00.000,True,1,2015-07-18 00:00:00.000,2015-07-18 09:16:48.000,243470000000.0000000000,-80094000000.0000000000,163376000000.0000000000,5241000000.0000000000,-2016000000.0000000000,3225000000.0000000000,1607000000.0000000000,16315000000.0000000000,0.0000000000,2975000000.0000000000,-731000000.0000000000,2244000000.0000000000,0.0000000000,186767000000.0000000000,-44325000000.0000000000,142442000000.0000000000,-4383000000.0000000000,138059000000.0000000000,-38691000000.0000000000,-38205000000.0000000000,-486000000.0000000000,99368000000.0000000000,0.0000000000,99368000000.0000000000,1169.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795351,WEB,NH,WEB,2011,2,NULL,2011-04-01 00:00:00.000,2011-06-30 00:00:00.000,OTC - BCTC Q2/2011,NULL,2011-09-21 00:00:00.000,False,1,2015-07-18 00:00:00.000,2015-07-18 09:16:42.000,506238989198.0000000000,-352594238189.0000000000,153644751009.0000000000,4916066480.0000000000,-1752969040.0000000000,3163097440.0000000000,9365789200.0000000000,0.0000000000,0.0000000000,1452966747.0000000000,-1491458.0000000000,1451475289.0000000000,0.0000000000,167625112938.0000000000,-48121599074.0000000000,119503513864.0000000000,-6245000000.0000000000,113258513864.0000000000,-14849770320.0000000000,-14849770320.0000000000,0.0000000000,98408743544.0000000000,0.0000000000,98408743544.0000000000,0.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795360,WEB,NH,WEB,2011,1,NULL,2011-01-01 00:00:00.000,2011-03-31 00:00:00.000,OTC - BCTC Q1/2011,NULL,2011-09-21 00:00:00.000,False,1,2015-07-18 00:00:00.000,2015-07-18 09:16:43.000,303902211333.0000000000,-239238677826.0000000000,64663533507.0000000000,3103333577.0000000000,-1042082876.0000000000,2061250701.0000000000,27565513607.0000000000,0.0000000000,0.0000000000,8658456282.0000000000,-23796331.0000000000,8634659951.0000000000,0.0000000000,102924957766.0000000000,-42869802861.0000000000,60055154905.0000000000,0.0000000000,60055154905.0000000000,-164018406.0000000000,-164018406.0000000000,0.0000000000,59891136499.0000000000,0.0000000000,59891136499.0000000000,0.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795444,WEB,NH,WEB,2011,5,NULL,2011-01-01 00:00:00.000,2011-12-31 00:00:00.000,WEB- BCTC NAM 2011,NULL,2012-03-27 00:00:00.000,True,1,2015-07-18 00:00:00.000,2015-07-18 09:16:41.000,2022022390289.0000000000,-1609165653828.0000000000,412856736461.0000000000,10620621510.0000000000,-5340954839.0000000000,5279666671.0000000000,31098916298.0000000000,0.0000000000,-2682720850.0000000000,11889616205.0000000000,-3183039044.0000000000,8706577161.0000000000,-746799906.0000000000,454512375835.0000000000,-280488543941.0000000000,174023831894.0000000000,-13464719036.0000000000,160559112858.0000000000,-39799271001.0000000000,-39799271001.0000000000,0.0000000000,120759841857.0000000000,-6789700.0000000000,120753052157.0000000000,424.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795530,WEB,NH,WEB,2012,2,NULL,2012-04-01 00:00:00.000,2012-06-30 00:00:00.000,OTC_BCTC Q2\2012,NULL,2012-10-15 00:00:00.000,False,1,2015-07-18 00:00:00.000,2015-07-18 09:16:38.000,518939295039.0000000000,-347196037702.0000000000,171743257337.0000000000,455772496.0000000000,-4379943811.0000000000,-3924171315.0000000000,-452131023.0000000000,0.0000000000,0.0000000000,10362968458.0000000000,-1118802987.0000000000,9244165471.0000000000,0.0000000000,176611120470.0000000000,-140630344305.0000000000,35980776165.0000000000,-15202000000.0000000000,20778776165.0000000000,-18642468255.0000000000,-18642468255.0000000000,0.0000000000,2136307910.0000000000,-23950395.0000000000,2112357515.0000000000,0.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795538,WEB,NH,WEB,2012,1,NULL,2012-01-01 00:00:00.000,2012-03-31 00:00:00.000,OTC_BCTC Q2/2012,NULL,2012-10-15 00:00:00.000,False,1,2015-07-18 00:00:00.000,2015-07-18 09:16:39.000,569954454169.0000000000,-434541587494.0000000000,135412866675.0000000000,523161917.0000000000,-1107198537.0000000000,-584036620.0000000000,-1282997148.0000000000,606096000.0000000000,0.0000000000,6619483093.0000000000,-603336099.0000000000,6016146994.0000000000,0.0000000000,140168075901.0000000000,-53890095661.0000000000,86277980240.0000000000,0.0000000000,86277980240.0000000000,0.0000000000,0.0000000000,0.0000000000,86277980240.0000000000,-17581201.0000000000,86260399039.0000000000,0.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1795661,WEB,NH,WEB,2012,5,NULL,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,WEB- BCTC KT 2012,NULL,2013-05-10 00:00:00.000,True,1,2015-07-18 00:00:00.000,2015-07-18 09:16:40.000,1835068720562.0000000000,-1482992327656.0000000000,352076392906.0000000000,5037616844.0000000000,-8647140872.0000000000,-3609524028.0000000000,-1189271860.0000000000,0.0000000000,44801308329.0000000000,15282745310.0000000000,-4193042923.0000000000,11089702387.0000000000,0.0000000000,403168607734.0000000000,-284577160623.0000000000,118591447111.0000000000,-67607564918.0000000000,50983882193.0000000000,-14509824794.0000000000,-354772127.0000000000,-14155052667.0000000000,36474057399.0000000000,87955948.0000000000,36562013347.0000000000,122.0000000000,2,2022-09-16 09:50:42.077,NULL,TOOLS_MIGRATION_20221609
1903061,HDB,NH,HDB,2017,1,3,2017-01-01 00:00:00.000,2017-03-31 00:00:00.000,OTC_BCTC Q1/2017,,2017-05-15 00:00:00.000,False,1,2017-05-04 20:56:58.990,2017-05-15 16:05:15.760,3418804000000.0000000000,-2062707000000.0000000000,1356097000000.0000000000,56903000000.0000000000,-24638000000.0000000000,32265000000.0000000000,34006000000.0000000000,-1452000000.0000000000,43105000000.0000000000,27145000000.0000000000,-5078000000.0000000000,22067000000.0000000000,495000000.0000000000,1486583000000.0000000000,-893980000000.0000000000,592603000000.0000000000,-205256000000.0000000000,387347000000.0000000000,-77751000000.0000000000,-77751000000.0000000000,0.0000000000,309596000000.0000000000,-42438000000.0000000000,267158000000.0000000000,0.0000000000,2,2019-10-18 17:53:42.070,NULL,NULL
