TICKER,TRADE_DATE,Type,PE_RATIO,PX_TO_BOOK_RATIO
ABB,2020-12-28,Private_3,7.6484,0.9761
ABB,2020-12-29,Private_3,7.7055,0.9834
ABB,2020-12-30,Private_3,7.7626,0.9907
ABB,2020-12-31,Private_3,6.9018,0.8655
ABB,2021-01-04,Private_3,6.6973,0.8398
ABB,2021-01-05,Private_3,6.7485,0.8463
ABB,2021-01-06,Private_3,6.953,0.8719
ABB,2021-01-07,Private_3,6.9018,0.8655
ABB,2021-01-08,Private_3,7.0041,0.8783
ABB,2021-01-11,Private_3,7.0041,0.8783
ABB,2021-01-12,Private_3,6.953,0.8719
ABB,2021-01-13,Private_3,6.9018,0.8655
ABB,2021-01-14,Private_3,6.953,0.8719
ABB,2021-01-15,Private_3,7.2086,0.904
ABB,2021-01-18,Private_3,7.3108,0.9168
ABB,2021-01-19,Private_3,6.9018,0.8655
ABB,2021-01-20,Private_3,6.8507,0.8591
ABB,2021-01-21,Private_3,7.0041,0.8783
ABB,2021-01-22,Private_3,6.9018,0.8655
ABB,2021-01-25,Private_3,6.7996,0.8527
ABB,2021-01-26,Private_3,6.4417,0.8078
ABB,2021-01-27,Private_3,6.3395,0.795
ABB,2021-01-28,Private_3,5.5215,0.6924
ABB,2021-01-29,Private_3,6.135,0.7693
ABB,2021-02-01,Private_3,5.9305,0.7437
ABB,2021-02-02,Private_3,6.0838,0.7629
ABB,2021-02-03,Private_3,6.2883,0.7886
ABB,2021-02-04,Private_3,6.3906,0.8014
ABB,2021-02-05,Private_3,6.544,0.8206
ABB,2021-02-08,Private_3,6.4928,0.8142
ABB,2021-02-09,Private_3,6.4928,0.8142
ABB,2021-02-17,Private_3,6.544,0.8206
ABB,2021-02-18,Private_3,6.6462,0.8334
ABB,2021-02-19,Private_3,6.6462,0.8334
ABB,2021-02-22,Private_3,6.5951,0.827
ABB,2021-02-23,Private_3,6.5951,0.827
ABB,2021-02-24,Private_3,6.544,0.8206
ABB,2021-02-25,Private_3,6.4928,0.8142
ABB,2021-02-26,Private_3,6.4928,0.8142
ABB,2021-03-01,Private_3,6.544,0.8206
ABB,2021-03-02,Private_3,6.544,0.8206
ABB,2021-03-03,Private_3,6.544,0.8206
ABB,2021-03-04,Private_3,6.6462,0.8334
ABB,2021-03-05,Private_3,6.5951,0.827
ABB,2021-03-08,Private_3,6.6973,0.8398
ABB,2021-03-09,Private_3,7.1575,0.8975
ABB,2021-03-10,Private_3,7.2086,0.904
ABB,2021-03-11,Private_3,7.1063,0.8911
ABB,2021-03-12,Private_3,7.1575,0.8975
ABB,2021-03-15,Private_3,7.2086,0.904
ABB,2021-03-16,Private_3,7.4642,0.936
ABB,2021-03-17,Private_3,7.6687,0.9617
ABB,2021-03-18,Private_3,7.6687,0.9617
ABB,2021-03-19,Private_3,7.5665,0.9488
ABB,2021-03-22,Private_3,7.4642,0.936
ABB,2021-03-23,Private_3,7.4131,0.9296
ABB,2021-03-24,Private_3,7.1575,0.8975
ABB,2021-03-25,Private_3,7.1575,0.8975
ABB,2021-03-26,Private_3,7.1575,0.8975
ABB,2021-03-29,Private_3,7.3108,0.9168
ABB,2021-03-30,Private_3,7.4131,0.9296
