TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Year,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan
ABB,Private_3,2020,5,2020-12-31,2020,3774900000000.0,1403197000000.0,,,,,,0.02091515399509814,0.01640493455603119,,,0.532652558646186,0.011140510289968025,63293151000000.0,72508223000000.0,116366981000000.0,8911349000000.0,13.058290164597976,2381546000000.0,-1858323000000.0,1916577000000.0,-513380000000.0,1117657000000.0,0.8729099732591709,0.1843935549213501,0.49228403401414605,0.4669098803600362,,-705118000000.0,0.0,0.03732008855112933
ABB,Private_3,2021,5,2021-12-31,2021,4535723000000.0,1958809000000.0,0.026761082633952632,0.08254485859633126,0.001752501952608214,0.013147518907041453,0.15115765626748692,0.02343676828593251,0.028918271322600476,0.004628873667547378,0.019742325674384577,0.5015704228575387,0.011755189779589321,68983999000000.0,67839732000000.0,120936804000000.0,11729061000000.0,10.310868363631155,3064563000000.0,-1829863000000.0,2705860000000.0,-747051000000.0,1559978000000.0,1.0168672099117373,0.1708172137236627,0.40343358710397437,0.4863256506281607,0.0029686757840798874,-810920000000.0,0.0,0.05235503960853299
ABB,Private_3,2022,5,2022-12-31,2022,4485854000000.0,1702405000000.0,0.03124535153016155,0.08857778805533335,0.014649574034458037,0.010807004646491055,0.10949117468350794,0.02884514318944812,0.020227067576538717,0.010855372417594985,0.005983764437895229,0.4339402665444712,0.012517069124142556,82010652000000.0,84124615000000.0,130146645000000.0,13053393000000.0,9.970330702523091,3765380000000.0,-2006536000000.0,2479318000000.0,-776913000000.0,1356730000000.0,0.9748710529016983,0.12712614494580451,0.4473030107533593,0.533640206668174,0.0018483257333301965,-1026533000000.0,0.0,0.049072210765986835
ABB,Private_3,2023,5,2023-12-31,2023,4335614000000.0,584044000000.0,0.019557813005605364,0.09217935605583619,0.030725124044802262,0.003103565369068857,0.03418449975332242,0.029122891289852366,0.016408073826271793,0.0059938067557370476,0.005395286943944794,0.46394765440567837,0.013511497103438566,98107189000000.0,100034291000000.0,162099173000000.0,13479217000000.0,12.025859736511402,2758206000000.0,-2252222000000.0,2083392000000.0,-1499348000000.0,453502000000.0,0.9807355859602184,0.1159715921813251,0.5194701373323363,0.6064387188252512,0.005125507048316428,-1325575000000.0,0.0,0.04553096511612416
ABB,Private_3,2024,5,2024-12-31,2024,4520553000000.0,744218000000.0,0.018271678607401573,0.06869907607943546,0.026366495186063474,0.0034565216445545306,0.04258055053386214,0.037383828115277316,0.014577137823570896,0.00850137496040173,0.00676419339667351,0.46214914292355547,0.017276904122676927,98738176000000.0,90719121000000.0,176713113000000.0,14024232000000.0,12.600555452876137,3035257000000.0,-2364544000000.0,2156009000000.0,-1411791000000.0,585556000000.0,1.0883943198700083,0.12594090280041403,0.5230652090573874,0.44645358556223236,0.0029500051836963198,-1705890000000.0,0.0,0.05196096593884821
ACB,Private_1,2018,5,2018-12-31,2018,14033199000000.0,6388571000000.0,0.04235368343127809,0.12203064824107958,0.008069229792775957,0.020302693456418025,0.29319289971263446,0.007265857801955014,0.0016620683665902881,,,1.5189286068234926,0.011036319268501134,230527220000000.0,269998503000000.0,329333241000000.0,21017899000000.0,15.669179921361312,10362920000000.0,-6712217000000.0,7320982000000.0,-932411000000.0,5137052000000.0,0.8538092524164846,0.17468155740107938,0.47830982800144145,0.5835633796772469,0.005918532909734194,-2544172000000.0,,0.008927926168545302
ACB,Private_1,2019,5,2019-12-31,2019,16097353000000.0,7515936000000.0,0.03539349321314479,0.09785187406675487,0.017257208433112337,0.016861770525787502,0.24639342456381244,0.0053939303382347864,0.0023486480438459556,,,1.7495328947005282,0.009436858558464904,268700541000000.0,308129391000000.0,383514439000000.0,27765359000000.0,13.812695128487263,12112160000000.0,-8307596000000.0,7789757000000.0,-273821000000.0,6009937000000.0,0.8720380101617765,0.19078455582966442,0.5160846009899889,0.6092477078829326,0.005320889870890791,-2535689000000.0,,0.007742578382080742
ACB,Private_1,2020,5,2020-12-31,2020,18161309000000.0,9595888000000.0,0.03649986566913707,0.09543639018081179,0.006662713649201279,0.01855654521232682,0.24307530278094613,0.005908533368200961,0.0018493735383223553,0.0023000474718061696,0.0020952023315799727,1.6031241306162192,0.009472112419114087,311478989000000.0,353195838000000.0,444530104000000.0,35448163000000.0,12.540286050930199,14582123000000.0,-7624268000000.0,10537041000000.0,-941153000000.0,7682823000000.0,0.8818874841894372,0.2162259029790719,0.41980828584547514,0.6265782145821964,0.004093146955259869,-2950364000000.0,-226992000000.0,0.007757906906523316
ACB,Private_1,2021,5,2021-12-31,2021,23563997000000.0,11998112000000.0,0.040104119014497716,0.08843164134436755,0.0035422871150515406,0.01975263915650861,0.2390256853246544,0.007734918539904246,0.005244231135203169,0.004442883946820567,0.008686868442352624,2.0938999001201704,0.016196145158143153,361912538000000.0,379920669000000.0,527769944000000.0,44900909000000.0,11.754103775493721,18944792000000.0,-8229776000000.0,15334221000000.0,-3336109000000.0,9602746000000.0,0.9526002861402626,0.25465234427664163,0.34925212390750177,0.6476565446602516,0.005952818794882956,-5861588000000.0,-424885000000.0,0.012979149675107415
ACB,Private_1,2022,5,2022-12-31,2022,28790067000000.0,17114208000000.0,0.04258962395157509,0.09154570215139529,0.017371079149013428,0.024106461869920985,0.26491677360537164,0.007360089542182496,0.0056685704748512325,0.003531839507588433,0.004767414275103119,1.5927328020650824,0.011722656039970235,413706244000000.0,413952789000000.0,607875185000000.0,58438663000000.0,10.401935188010718,23533529000000.0,-11605045000000.0,17185022000000.0,-70814000000.0,13688193000000.0,0.9994044127578037,0.22300461176503875,0.4030919761319069,0.6647087784646442,0.006210116012393868,-4849736000000.0,-1032666000000.0,0.01302866001703373
ACB,Private_1,2023,5,2023-12-31,2023,32746516000000.0,20067999000000.0,0.03863536320300406,0.09919784188868531,0.02628212160008227,0.02418798304513117,0.2479969028697823,0.012073836421769785,0.006512009720586541,0.00998129726076844,0.011987902217883857,0.9116267851152283,0.01100683268118514,487601852000000.0,482702731000000.0,718794589000000.0,70955961000000.0,10.13015085511984,24959570000000.0,-10874286000000.0,21872230000000.0,-1804231000000.0,16044733000000.0,1.0101493542202478,0.2200748000325691,0.33207459382854654,0.6674310154656994,0.004405522847164829,-5366952000000.0,-1287015000000.0,0.018585846142356324
