TICKER,Type,Date_Quarter,TOI,Net Interest Income,Fees Income,OPEX,Provision expense,PBT,Loan,NIM,Core TOI,Core PBT,Non-recurring income,Core TOI_T12M,PBT_T12M,OPEX_T12M,Provision expense_T12M,Non-recurring income_T12M,Net Interest Income_T12M,Fees Income_T12M,Loan_T12M,NIM_T12M,Core_TOI_Change,PBT_Change,OPEX_Change,Provision_Change,Non_Recurring_Change,NII_Change,Fee_Change,Loan_Growth_%,Small_PBT_Flag,PBT_Growth_%_T12M,Top_Line_Impact_T12M,Cost_Cutting_Impact_T12M,Non_Recurring_Impact_T12M,NII_Impact_T12M,Fee_Impact_T12M,OPEX_Impact_T12M,Provision_Impact_T12M,Loan_Impact_T12M,NIM_Impact_T12M,Total_Impact_T12M,Top_Line_Impact,Cost_Cutting_Impact,Non_Recurring_Impact,Total_Impact,NII_Impact,Fee_Impact,OPEX_Impact,Provision_Impact,Loan_Impact,NIM_Impact,PBT_Growth_%,Core TOI_QoQ,PBT_QoQ,OPEX_QoQ,Provision expense_QoQ,Non-recurring income_QoQ,Net Interest Income_QoQ,Fees Income_QoQ,Loan_QoQ,NIM_QoQ,PBT_Change_QoQ,Loan_Growth_%_QoQ,PBT_Growth_%_QoQ,Top_Line_Impact_QoQ,Cost_Cutting_Impact_QoQ,Non_Recurring_Impact_QoQ,NII_Impact_QoQ,Fee_Impact_QoQ,OPEX_Impact_QoQ,Provision_Impact_QoQ,Loan_Impact_QoQ,NIM_Impact_QoQ,Total_Impact_QoQ,Core TOI_YoY,PBT_YoY,OPEX_YoY,Provision expense_YoY,Non-recurring income_YoY,Net Interest Income_YoY,Fees Income_YoY,Loan_YoY,NIM_YoY,PBT_Change_YoY,Loan_Growth_%_YoY,PBT_Growth_%_YoY,Top_Line_Impact_YoY,Cost_Cutting_Impact_YoY,Non_Recurring_Impact_YoY,NII_Impact_YoY,Fee_Impact_YoY,OPEX_Impact_YoY,Provision_Impact_YoY,Loan_Impact_YoY,NIM_Impact_YoY,Total_Impact_YoY,Impacts_Capped
ABB,Private_3,2020-Q4,1195259000000.0,681721000000.0,54399000000.0,-627516000000.0,-110134000000.0,457609000000.0,63293151000000.0,,736120000000.0,-1530000000.0,459139000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,False
ABB,Private_3,2021-Q1,999062000000.0,688378000000.0,54740000000.0,-400010000000.0,-121100000000.0,477952000000.0,67647831000000.0,0.0267528160264516,743118000000.0,222008000000.0,255944000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,736120000000.0,457609000000.0,-627516000000.0,-110134000000.0,459139000000.0,681721000000.0,54399000000.0,63293151000000.0,,20343000000.0,6.651362978169814,4.445498231022555,1.5,47.3,-44.4,1.5,0.1,49.7,-2.4,3.3,-1.8,4.4,,,,,,,,,,,,0.0,,,,,,,,,,,False
ABB,Private_3,2021-Q2,1319217000000.0,740195000000.0,84375000000.0,-396987000000.0,-208767000000.0,713463000000.0,67007706000000.0,0.029118182994225,824570000000.0,218816000000.0,494647000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,743118000000.0,477952000000.0,-400010000000.0,-121100000000.0,255944000000.0,688378000000.0,54740000000.0,67647831000000.0,0.0267528160264516,235511000000.0,-0.9507592695575526,49.27503180235672,17.0,-17.7,50.0,10.8,6.2,0.6,-18.3,-0.5,11.3,49.3,,,,,,,,,,,,0.0,,,,,,,,,,,False
ABB,Private_3,2021-Q3,878898000000.0,768197000000.0,69032000000.0,-386048000000.0,-84955000000.0,407895000000.0,66664887000000.0,0.0280071800489042,837229000000.0,366226000000.0,41669000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,824570000000.0,713463000000.0,-396987000000.0,-208767000000.0,494647000000.0,740195000000.0,84375000000.0,67007706000000.0,0.029118182994225,-305568000000.0,-0.5129233933540887,-42.828850269740684,1.8,18.9,-63.5,3.9,-2.1,1.5,17.3,-0.3,4.2,-42.8,,,,,,,,,,,,0.0,,,,,,,,,,,False
ABB,Private_3,2021-Q4,1356447000000.0,869218000000.0,142570000000.0,-716073000000.0,-280875000000.0,359499000000.0,68983999000000.0,0.0306099631658875,1011788000000.0,14840000000.0,344659000000.0,785259250000.0,514229750000.0,-452640250000.0,-131239000000.0,312849750000.0,719622750000.0,65636500000.0,66153393750000.0,,226528750000.0,-154730750000.0,-263432750000.0,-149636000000.0,31809250000.0,149595250000.0,76933500000.0,4.189225783327834,False,-30.08980907852959,44.1,-80.3,6.2,29.1,15.0,-51.2,-29.1,2.1,27.0,-30.0,44.1,-80.3,6.2,-30.0,29.1,15.0,-51.2,-29.1,2.1,27.0,-30.08980907852959,837229000000.0,407895000000.0,-386048000000.0,-84955000000.0,41669000000.0,768197000000.0,69032000000.0,66664887000000.0,0.0280071800489042,-48396000000.0,3.4192864657952295,-11.864818151730224,-11.9,17.0,-17.0,-6.9,-5.0,17.0,13.3,1.7,-8.6,-11.9,736120000000.0,457609000000.0,-627516000000.0,-110134000000.0,459139000000.0,681721000000.0,54399000000.0,63293151000000.0,,-98110000000.0,8.604430924010686,-21.439700705187178,60.2,-56.7,-25.0,41.0,19.3,-19.4,-37.3,4.3,36.7,-21.5,False
ABB,Private_3,2022-Q1,1056939000000.0,827949000000.0,63456000000.0,-437105000000.0,-44238000000.0,575596000000.0,73436643000000.0,0.0275175039076203,891405000000.0,410062000000.0,165534000000.0,854176250000.0,489702250000.0,-474779500000.0,-173924250000.0,284229750000.0,766497000000.0,87679250000.0,67576105750000.0,0.028622035558867075,37228750000.0,85893750000.0,37674500000.0,129686250000.0,-118695750000.0,61452000000.0,-24223250000.0,8.312067244912846,False,17.53999496632903,7.6,34.2,-24.2,12.5,-4.9,7.7,26.5,4.2,8.3,17.6,7.6,34.2,-24.2,17.6,12.5,-4.9,7.7,26.5,4.2,8.3,17.53999496632903,1011788000000.0,359499000000.0,-716073000000.0,-280875000000.0,344659000000.0,869218000000.0,142570000000.0,68983999000000.0,0.0306099631658875,216097000000.0,6.2528070895790515,60.110598360496134,-33.5,143.4,-49.8,-11.5,-22.0,77.6,65.8,3.1,-14.6,60.1,743118000000.0,477952000000.0,-400010000000.0,-121100000000.0,255944000000.0,688378000000.0,54740000000.0,67647831000000.0,0.0267528160264516,97644000000.0,8.20616448554077,20.429666577396894,31.0,8.3,-18.9,29.2,1.8,-7.8,16.1,4.1,25.1,20.4,False
ABB,Private_3,2022-Q2,1749041000000.0,977229000000.0,86573000000.0,-491477000000.0,-172424000000.0,1085140000000.0,77706408000000.0,0.0313051796682031,1063802000000.0,399901000000.0,685239000000.0,891248000000.0,514113250000.0,-484053250000.0,-154708750000.0,261627250000.0,801389750000.0,89858250000.0,69023308750000.0,0.028813207529159248,172554000000.0,571026750000.0,-7423750000.0,-17715250000.0,423611750000.0,175839250000.0,-3285250000.0,11.835501958740066,False,111.07022625851405,33.5,-4.9,82.4,34.2,-0.7,-1.4,-3.4,5.9,28.3,111.0,33.5,-4.9,82.4,111.0,34.2,-0.7,-1.4,-3.4,5.9,28.3,111.07022625851405,891405000000.0,575596000000.0,-437105000000.0,-44238000000.0,165534000000.0,827949000000.0,63456000000.0,73436643000000.0,0.0275175039076203,509544000000.0,5.6499653430973815,88.52459016393442,29.9,-31.7,90.3,25.9,4.0,-9.5,-22.3,2.8,23.1,88.5,824570000000.0,713463000000.0,-396987000000.0,-208767000000.0,494647000000.0,740195000000.0,84375000000.0,67007706000000.0,0.029118182994225,371677000000.0,14.785982796398145,52.0947827707954,33.5,-8.1,26.7,33.2,0.3,-13.2,5.1,7.4,25.8,52.1,False
ABB,Private_3,2022-Q3,936305000000.0,979952000000.0,-106918000000.0,-540891000000.0,-309603000000.0,85811000000.0,80829376000000.0,0.0310000075645305,873034000000.0,22540000000.0,63271000000.0,951056000000.0,607032500000.0,-507675750000.0,-145623000000.0,309275250000.0,860648250000.0,90407750000.0,71697984250000.0,0.029359956697653775,-78022000000.0,-521221500000.0,-33215250000.0,-163980000000.0,-246004250000.0,119303750000.0,-197325750000.0,11.973447563811753,False,-85.86385407700577,-12.9,-32.5,-40.5,19.7,-32.5,-5.5,-27.0,6.0,13.7,-85.9,-12.9,-32.5,-40.5,-85.9,19.7,-32.5,-5.5,-27.0,6.0,13.7,-85.86385407700577,1063802000000.0,1085140000000.0,-491477000000.0,-172424000000.0,685239000000.0,977229000000.0,86573000000.0,77706408000000.0,0.0313051796682031,-999329000000.0,3.9397641607525027,-92.09217243857935,-17.6,-17.2,-57.3,0.3,-17.9,-4.5,-12.6,2.0,-1.7,-92.1,837229000000.0,407895000000.0,-386048000000.0,-84955000000.0,41669000000.0,768197000000.0,69032000000.0,66664887000000.0,0.0280071800489042,-322084000000.0,19.20683382783505,-78.96247808872381,8.8,-93.0,5.3,51.9,-43.1,-38.0,-55.0,9.6,42.3,-78.9,False
ABB,Private_3,2022-Q4,776822000000.0,951123000000.0,188931000000.0,-573133000000.0,-249064000000.0,-45375000000.0,82010652000000.0,0.0303635383935958,1140054000000.0,317857000000.0,-363232000000.0,960007250000.0,526511500000.0,-546386500000.0,-201785000000.0,314675750000.0,913587000000.0,46420250000.0,75239106500000.0,0.030108163576560352,180046750000.0,-571886500000.0,-26746500000.0,-47279000000.0,-677907750000.0,37536000000.0,142510750000.0,8.612471732349274,False,-108.61804537982552,34.2,-14.0,-128.7,7.2,27.0,-5.1,-9.0,4.3,2.9,-108.5,34.2,-14.0,-128.7,-108.5,7.2,27.0,-5.1,-9.0,4.3,2.9,-108.61804537982552,873034000000.0,85811000000.0,-540891000000.0,-309603000000.0,63271000000.0,979952000000.0,-106918000000.0,80829376000000.0,0.0310000075645305,-131186000000.0,1.450842295359959,-152.8778361748494,311.1,33.0,-497.0,-33.6,344.7,-37.6,70.5,0.7,-34.3,-152.9,1011788000000.0,359499000000.0,-716073000000.0,-280875000000.0,344659000000.0,869218000000.0,142570000000.0,68983999000000.0,0.0306099631658875,-404874000000.0,17.25445625222843,-112.62173191024176,35.7,48.7,-196.9,22.7,13.0,39.8,8.9,8.6,14.1,-112.5,False
ABB,Private_3,2023-Q1,1267175000000.0,790381000000.0,133979000000.0,-538657000000.0,-116846000000.0,611672000000.0,79453107000000.0,0.0250401928081001,924360000000.0,268857000000.0,342815000000.0,992073750000.0,425293000000.0,-510651500000.0,-193832250000.0,137703000000.0,934063250000.0,58010500000.0,78495769750000.0,0.030046557383487424,-67713750000.0,186379000000.0,-28005500000.0,76986250000.0,205112000000.0,-143682250000.0,75968500000.0,1.2122115328686565,False,43.823669799408876,-15.9,11.5,48.2,-33.8,17.9,-6.6,18.1,0.6,-34.4,43.8,-15.9,11.5,48.2,43.8,-33.8,17.9,-6.6,18.1,0.6,-34.4,43.823669799408876,1140054000000.0,-45375000000.0,-573133000000.0,-249064000000.0,-363232000000.0,951123000000.0,188931000000.0,82010652000000.0,0.0303635383935958,657047000000.0,-3.1679492857589175,1448.0374655647383,-475.0,367.8,1556.6,-354.8,-121.6,75.3,291.1,-1.6,-353.2,1449.4,891405000000.0,575596000000.0,-437105000000.0,-44238000000.0,165534000000.0,827949000000.0,63456000000.0,73436643000000.0,0.0275175039076203,36076000000.0,7.870330090800724,6.267590462755127,5.7,-30.3,30.8,-6.5,12.3,-17.6,-12.6,3.9,-10.4,6.2,False
ABB,Private_3,2023-Q2,1315798000000.0,776538000000.0,185089000000.0,-550868000000.0,-697883000000.0,67047000000.0,84020430000000.0,0.0223096358190149,961627000000.0,-287124000000.0,354171000000.0,1000312500000.0,434312000000.0,-536039500000.0,-211984250000.0,182023250000.0,924671250000.0,75641250000.0,79999885750000.0,0.029427229608607375,-38685500000.0,-367265000000.0,-14828500000.0,-485898750000.0,172147750000.0,-148133250000.0,109447750000.0,4.902495439806517,False,-84.56248042881616,-8.9,-115.3,39.7,-34.1,25.2,-3.4,-111.9,2.5,-36.6,-84.5,-8.9,-115.3,39.7,-84.5,-34.1,25.2,-3.4,-111.9,2.5,-36.6,-84.56248042881616,924360000000.0,611672000000.0,-538657000000.0,-116846000000.0,342815000000.0,790381000000.0,133979000000.0,79453107000000.0,0.0250401928081001,-544625000000.0,5.587843860012645,-89.0387331772584,6.1,-97.0,1.9,-2.2,8.4,-2.0,-95.0,2.8,-5.0,-89.0,1063802000000.0,1085140000000.0,-491477000000.0,-172424000000.0,685239000000.0,977229000000.0,86573000000.0,77706408000000.0,0.0313051796682031,-1018093000000.0,7.808255052881205,-93.82135024052197,-9.4,-53.9,-30.5,-18.5,9.1,-5.4,-48.4,3.9,-22.4,-93.8,False
ABB,Private_3,2023-Q3,820343000000.0,647727000000.0,189366000000.0,-554982000000.0,-235860000000.0,29501000000.0,81608475000000.0,0.0180294160332696,837093000000.0,46251000000.0,-16750000000.0,974768750000.0,179788750000.0,-550887250000.0,-343349000000.0,99256250000.0,874498500000.0,100270250000.0,81578391250000.0,0.027178343646310325,-137675750000.0,-150287750000.0,-4094750000.0,107489000000.0,-116006250000.0,-226771500000.0,89095750000.0,0.036870307876262685,False,-83.59129812071112,-76.6,57.5,-64.5,-126.1,49.6,-2.3,59.8,0.0,-126.1,-83.6,-76.6,57.5,-64.5,-83.6,-126.1,49.6,-2.3,59.8,0.0,-126.1,-83.59129812071112,961627000000.0,67047000000.0,-550868000000.0,-697883000000.0,354171000000.0,776538000000.0,185089000000.0,84020430000000.0,0.0223096358190149,-37546000000.0,-2.9124807653591622,-55.99952272286605,-56.0,112.4,-112.4,-57.9,1.9,-1.8,112.4,-1.5,-56.4,-56.0,873034000000.0,85811000000.0,-540891000000.0,-309603000000.0,63271000000.0,979952000000.0,-106918000000.0,80829376000000.0,0.0310000075645305,-56310000000.0,0.9592579502914009,-65.62095768607755,-41.9,69.5,-93.2,-328.1,328.1,-16.4,86.0,0.5,-328.6,-65.6,False
ABB,Private_3,2023-Q4,922289000000.0,658811000000.0,270950000000.0,-607852000000.0,-438616000000.0,-124179000000.0,98107189000000.0,0.0178193794978715,929761000000.0,-116707000000.0,-7472000000.0,965783500000.0,165711250000.0,-554410000000.0,-324913250000.0,79251000000.0,791442250000.0,174341250000.0,81773166000000.0,0.0239356957634951,-36022500000.0,-289890250000.0,-53442000000.0,-113702750000.0,-86723000000.0,-132631250000.0,96608750000.0,18.16098595091165,False,-174.93697621615914,-21.7,-100.9,-52.3,-80.1,58.3,-32.2,-68.6,9.1,-89.2,-174.9,-21.7,-100.9,-52.3,-174.9,-80.1,58.3,-32.2,-68.6,9.1,-89.2,-174.93697621615914,837093000000.0,29501000000.0,-554982000000.0,-235860000000.0,-16750000000.0,647727000000.0,189366000000.0,81608475000000.0,0.0180294160332696,-153680000000.0,18.360908151000128,-520.9314938476662,314.1,-866.3,31.3,37.5,276.6,-179.2,-687.1,9.2,28.3,-520.9,1140054000000.0,-45375000000.0,-573133000000.0,-249064000000.0,-363232000000.0,951123000000.0,188931000000.0,82010652000000.0,0.0303635383935958,-78804000000.0,17.873339931939334,-173.67272727272726,-463.5,-494.3,784.0,-644.2,180.8,-76.6,-417.7,8.9,-653.1,-173.8,False
ABB,Private_3,2024-Q1,877929000000.0,660703000000.0,104184000000.0,-508603000000.0,-177030000000.0,192296000000.0,79132954000000.0,0.0176745528300087,764887000000.0,79254000000.0,113042000000.0,913210250000.0,146010250000.0,-563089750000.0,-372301250000.0,168191000000.0,718364250000.0,194846000000.0,85797300250000.0,0.020799656039564025,-148323250000.0,46285750000.0,54486750000.0,195271250000.0,-55149000000.0,-57661250000.0,-90662000000.0,-8.08141147942237,True,31.700342955374712,-101.6,171.1,-37.8,-39.5,-62.1,37.3,133.7,-4.0,-35.5,31.7,-101.6,171.1,-37.8,31.7,-39.5,-62.1,37.3,133.7,-4.0,-35.5,31.700342955374712,929761000000.0,-124179000000.0,-607852000000.0,-438616000000.0,-7472000000.0,658811000000.0,270950000000.0,98107189000000.0,0.0178193794978715,316475000000.0,-21.410764715981976,254.85388028571657,-132.8,290.5,97.1,1.5,-134.3,80.0,210.8,-10.7,12.2,254.8,924360000000.0,611672000000.0,-538657000000.0,-116846000000.0,342815000000.0,790381000000.0,133979000000.0,79453107000000.0,0.0250401928081001,-419376000000.0,-0.40375931904885387,-68.56223596960463,-26.1,-4.9,-37.6,-21.2,-4.9,4.9,-9.9,-0.2,-21.0,-68.6,False
ABB,Private_3,2024-Q2,1377373000000.0,802290000000.0,84631000000.0,-582673000000.0,-463417000000.0,331283000000.0,91037807000000.0,0.0221822479350818,886921000000.0,-159169000000.0,490452000000.0,873342000000.0,41166250000.0,-555576250000.0,-387347250000.0,110747750000.0,685944750000.0,187397250000.0,85717262000000.0,0.018958246045041177,13579000000.0,290116750000.0,-27096750000.0,-76069750000.0,379704250000.0,116345250000.0,-102766250000.0,6.020246016254278,False,704.7441775726475,33.1,-250.9,922.5,282.6,-249.5,-65.5,-184.6,3.0,279.6,704.7,33.1,-250.9,922.5,704.7,282.6,-249.5,-65.5,-184.6,3.0,279.6,704.7441775726475,764887000000.0,192296000000.0,-508603000000.0,-177030000000.0,113042000000.0,660703000000.0,104184000000.0,79132954000000.0,0.0176745528300087,138987000000.0,13.991655123408655,72.27763448017639,63.5,-187.4,196.2,73.7,-10.2,-38.5,-149.0,7.0,66.7,72.3,961627000000.0,67047000000.0,-550868000000.0,-697883000000.0,354171000000.0,776538000000.0,185089000000.0,84020430000000.0,0.0223096358190149,264236000000.0,8.017191444696202,394.1056273957075,-111.5,302.3,203.4,38.2,-149.8,-47.3,349.6,4.0,34.2,394.2,False
ABB,Private_3,2024-Q3,742702000000.0,737633000000.0,82131000000.0,-560386000000.0,-525809000000.0,-343493000000.0,98767633000000.0,0.0191534203424735,819764000000.0,-266431000000.0,-77062000000.0,854665500000.0,107225250000.0,-563527500000.0,-328730750000.0,144818000000.0,692382750000.0,162282750000.0,87471606250000.0,0.0189263990740579,-34901500000.0,-450718250000.0,3141500000.0,-197078250000.0,-221880000000.0,45250250000.0,-80151750000.0,12.130662469939187,False,-420.3471197315931,-32.4,-180.7,-206.8,42.0,-74.8,2.9,-183.7,6.1,35.9,-419.9,-32.4,-180.7,-206.8,-419.9,42.0,-74.8,2.9,-183.7,6.1,35.9,-420.3471197315931,886921000000.0,331283000000.0,-582673000000.0,-463417000000.0,490452000000.0,802290000000.0,84631000000.0,91037807000000.0,0.0221822479350818,-674776000000.0,8.144999426781444,-203.68567055961216,-20.4,-12.0,-171.3,-19.6,-0.8,6.7,-18.7,4.1,-23.7,-203.7,837093000000.0,29501000000.0,-554982000000.0,-235860000000.0,-16750000000.0,647727000000.0,189366000000.0,81608475000000.0,0.0180294160332696,-372994000000.0,19.025976544521072,-1264.343581573506,-58.2,-1001.4,-204.8,304.7,-362.9,-17.7,-982.4,9.5,295.2,-1264.4,False
ABB,Private_3,2024-Q4,1527033000000.0,842949000000.0,228803000000.0,-775229000000.0,-246285000000.0,505519000000.0,98738176000000.0,0.0202100152012544,1071752000000.0,50238000000.0,455281000000.0,850333250000.0,13976750000.0,-564878500000.0,-401218000000.0,129740000000.0,714859250000.0,135474000000.0,91761395750000.0,0.019207400151358876,221418750000.0,491542250000.0,-210350500000.0,154933000000.0,325541000000.0,128089750000.0,93329000000.0,7.324720140742258,False,3516.8565653674855,1582.6,-397.4,2328.2,917.9,668.2,-1505.2,1107.8,3.7,914.2,3513.4,1582.6,-397.4,2328.2,3513.4,917.9,668.2,-1505.2,1107.8,3.7,914.2,3516.8565653674855,819764000000.0,-343493000000.0,-560386000000.0,-525809000000.0,-77062000000.0,737633000000.0,82131000000.0,98767633000000.0,0.0191534203424735,849012000000.0,-0.029828996067654902,247.17010244750256,73.4,18.8,155.0,30.6,42.8,-62.5,81.3,-0.0,30.6,247.2,929761000000.0,-124179000000.0,-607852000000.0,-438616000000.0,-7472000000.0,658811000000.0,270950000000.0,98107189000000.0,0.0178193794978715,629698000000.0,0.6410991693911614,507.0889602911926,114.1,20.3,372.7,148.1,-34.0,-134.9,154.7,0.3,147.8,507.1,False
ABB,Private_3,2025-Q1,1306580000000.0,832067000000.0,161861000000.0,-550723000000.0,-340125000000.0,415732000000.0,98044744000000.0,0.0187488062188568,993928000000.0,103080000000.0,312652000000.0,885831000000.0,171401250000.0,-606722750000.0,-353135250000.0,245428250000.0,760893750000.0,124937250000.0,91919142500000.0,0.019805059077204597,108097000000.0,244330750000.0,55999750000.0,13010250000.0,67223750000.0,71173250000.0,36923750000.0,6.4492273903861195,False,142.54898957854743,63.0,40.2,39.2,41.5,21.5,32.6,7.6,3.2,38.3,142.4,63.0,40.2,39.2,142.4,41.5,21.5,32.6,7.6,3.2,38.3,142.54898957854743,1071752000000.0,505519000000.0,-775229000000.0,-246285000000.0,455281000000.0,842949000000.0,228803000000.0,98738176000000.0,0.0202100152012544,-89787000000.0,-0.7047684829557362,-17.761350216312344,-15.4,25.8,-28.2,-2.1,-13.2,44.4,-18.6,-0.4,-1.7,-17.8,764887000000.0,192296000000.0,-508603000000.0,-177030000000.0,113042000000.0,660703000000.0,104184000000.0,79132954000000.0,0.0176745528300087,223436000000.0,21.34782222986101,116.1937845821026,119.1,-106.7,103.8,89.1,30.0,-22.0,-84.8,10.7,78.4,116.2,False
ABB,Private_3,2025-Q2,2368951000000.0,932985000000.0,430838000000.0,-587382000000.0,-524841000000.0,1256728000000.0,114534483000000.0,0.0194778800885419,1363823000000.0,251600000000.0,1005128000000.0,943091250000.0,227260250000.0,-617252750000.0,-393909000000.0,295330750000.0,803734750000.0,139356500000.0,96647090000000.0,0.020073622424416626,420731750000.0,1029467750000.0,29870750000.0,-130932000000.0,709797250000.0,129250250000.0,291481500000.0,16.94029715367259,False,452.99067918828746,185.3,-44.4,312.1,57.1,128.2,13.1,-57.5,8.5,48.6,453.0,185.3,-44.4,312.1,453.0,57.1,128.2,13.1,-57.5,8.5,48.6,452.99067918828746,993928000000.0,415732000000.0,-550723000000.0,-340125000000.0,312652000000.0,832067000000.0,161861000000.0,98044744000000.0,0.0187488062188568,840996000000.0,15.513970233789589,202.2928232611394,89.0,-53.2,166.5,24.3,64.7,-8.9,-44.5,7.8,16.5,202.3,886921000000.0,331283000000.0,-582673000000.0,-463417000000.0,490452000000.0,802290000000.0,84631000000.0,91037807000000.0,0.0221822479350818,925445000000.0,22.859769670318894,279.3517928779925,143.9,-19.8,155.3,39.4,104.5,-1.4,-18.4,11.4,28.0,279.4,False
ACB,Private_1,2018-Q1,3303376000000.0,2372811000000.0,352944000000.0,-1679283000000.0,-134006000000.0,1490087000000.0,211670318000000.0,0.0387939148287578,2725755000000.0,912466000000.0,577621000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,False
ACB,Private_1,2018-Q2,3205045000000.0,2488262000000.0,393709000000.0,-1232830000000.0,-311286000000.0,1660929000000.0,221861170000000.0,0.0340309847014194,2881971000000.0,1337855000000.0,323074000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2725755000000.0,1490087000000.0,-1679283000000.0,-134006000000.0,577621000000.0,2372811000000.0,352944000000.0,211670318000000.0,0.0387939148287578,170842000000.0,4.701320334083784,11.465236593568026,10.5,18.1,-17.1,7.8,2.7,30.0,-11.9,2.4,5.4,11.5,,,,,,,,,,,,0.0,,,,,,,,,,,False
ACB,Private_1,2018-Q3,3360441000000.0,2563243000000.0,328422000000.0,-1520206000000.0,-214904000000.0,1625331000000.0,220939364000000.0,0.0342794889289703,2891665000000.0,1156555000000.0,468776000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2881971000000.0,1660929000000.0,-1232830000000.0,-311286000000.0,323074000000.0,2488262000000.0,393709000000.0,221861170000000.0,0.0340309847014194,-35598000000.0,-0.41635270475983666,-2.1432583813034753,0.6,-11.5,8.8,4.5,-3.9,-15.1,5.8,-0.2,4.7,-2.1,,,,,,,,,,,,0.0,,,,,,,,,,,False
ACB,Private_1,2018-Q4,4164337000000.0,2938604000000.0,422451000000.0,-2279898000000.0,-272215000000.0,1612224000000.0,230527220000000.0,0.0381849832586019,3361055000000.0,808942000000.0,803282000000.0,,,,,,,,,,,,,,,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2891665000000.0,1625331000000.0,-1520206000000.0,-214904000000.0,468776000000.0,2563243000000.0,328422000000.0,220939364000000.0,0.0342794889289703,-13107000000.0,4.247426648967668,-0.8064203537617877,-0.8,0.8,-0.8,-0.8,-0.3,0.8,0.2,2.1,-2.9,-0.8,,,,,,,,,,,,0.0,,,,,,,,,,,False
ACB,Private_1,2019-Q1,3490162000000.0,2856540000000.0,371447000000.0,-1798929000000.0,15661000000.0,1706894000000.0,237357737000000.0,0.0358579379357746,3227987000000.0,1444719000000.0,262175000000.0,2965111500000.0,1597142750000.0,-1678054250000.0,-233102750000.0,543188250000.0,2590730000000.0,374381500000.0,221249518000000.0,0.036322342929437354,262875500000.0,109751250000.0,-120874750000.0,248763750000.0,-281013250000.0,265810000000.0,-2934500000.0,7.024842640136603,False,6.871724521806207,16.5,8.0,-17.6,16.6,-0.2,-7.6,15.6,3.5,13.1,6.9,16.5,8.0,-17.6,6.9,16.6,-0.2,-7.6,15.6,3.5,13.1,6.871724521806207,3361055000000.0,1612224000000.0,-2279898000000.0,-272215000000.0,803282000000.0,2938604000000.0,422451000000.0,230527220000000.0,0.0381849832586019,94670000000.0,2.919742085232289,5.872012822039617,-8.3,29.4,-29.4,-5.1,-3.2,29.4,17.9,1.5,-6.6,-8.3,2725755000000.0,1490087000000.0,-1679283000000.0,-134006000000.0,577621000000.0,2372811000000.0,352944000000.0,211670318000000.0,0.0387939148287578,216807000000.0,11.441342568227725,14.54995580794947,33.7,2.0,-21.2,32.5,1.2,-8.0,10.0,5.7,26.8,14.5,False
ACB,Private_1,2019-Q2,3948649000000.0,2903004000000.0,520103000000.0,-1922154000000.0,-111156000000.0,1915339000000.0,250704406000000.0,0.035201348907041,3423107000000.0,1389797000000.0,525542000000.0,3090669500000.0,1651344500000.0,-1707965750000.0,-195686000000.0,464326750000.0,2711662250000.0,379007250000.0,227671372750000.0,0.035588348706191555,332437500000.0,263994500000.0,-214188250000.0,84530000000.0,61215250000.0,191341750000.0,141095750000.0,9.629682050452267,False,15.986639977303344,20.1,-7.8,3.7,11.6,8.5,-13.0,5.1,4.8,6.8,16.0,20.1,-7.8,3.7,16.0,11.6,8.5,-13.0,5.1,4.8,6.8,15.986639977303344,3227987000000.0,1706894000000.0,-1798929000000.0,15661000000.0,262175000000.0,2856540000000.0,371447000000.0,237357737000000.0,0.0358579379357746,208445000000.0,5.4692498450960585,12.211947549174115,11.4,-14.7,15.4,2.7,8.7,-7.2,-7.4,2.7,0.0,12.1,2881971000000.0,1660929000000.0,-1232830000000.0,-311286000000.0,323074000000.0,2488262000000.0,393709000000.0,221861170000000.0,0.0340309847014194,254410000000.0,12.207082980585112,15.317331445233359,32.6,-29.5,12.2,25.0,7.6,-41.5,12.1,6.1,18.9,15.3,False
