TICKER,Type,Year,TOI,Net Interest Income,Fees Income,OPEX,Provision expense,PBT,Loan,NIM,Core TOI,Core PBT,Non-recurring income,Core TOI_Prior_Year,PBT_Prior_Year,OPEX_Prior_Year,Provision expense_Prior_Year,Non-recurring income_Prior_Year,Net Interest Income_Prior_Year,Fees Income_Prior_Year,Loan_Prior_Year,NIM_Prior_Year,Core_TOI_Change,PBT_Change,OPEX_Change,Provision_Change,Non_Recurring_Change,NII_Change,Fee_Change,Loan_Growth_%,Small_PBT_Flag,Scores_Capped,PBT_Growth_%,Top_Line_Impact,Cost_Cutting_Impact,Non_Recurring_Impact,NII_Impact,Fee_Impact,OPEX_Impact,Provision_Impact,Loan_Impact,NIM_Impact,Total_Impact
ABB,Private_3,2020,3774900000000.0,2381546000000.0,193827000000.0,-1858323000000.0,-513380000000.0,1403197000000.0,63293151000000.0,,2575373000000.0,203670000000.0,1199527000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
ABB,Private_3,2021,4535723000000.0,3064563000000.0,352239000000.0,-1829863000000.0,-747051000000.0,1958809000000.0,68983999000000.0,0.0267610826339526,3416802000000.0,839888000000.0,1118921000000.0,2575373000000.0,1403197000000.0,-1858323000000.0,-513380000000.0,1199527000000.0,2381546000000.0,193827000000.0,63293151000000.0,,841429000000.0,555612000000.0,28460000000.0,-233671000000.0,-80606000000.0,683017000000.0,158412000000.0,8.604430924010686,False,False,39.5961507899461,59.9,-14.6,-5.7,48.7,11.3,2.0,-16.7,4.3,44.4,39.6
ABB,Private_3,2022,4485854000000.0,3765380000000.0,232042000000.0,-2006536000000.0,-776913000000.0,1702405000000.0,82010652000000.0,0.0312453515301615,3997422000000.0,1213973000000.0,488432000000.0,3416802000000.0,1958809000000.0,-1829863000000.0,-747051000000.0,1118921000000.0,3064563000000.0,352239000000.0,68983999000000.0,0.0267610826339526,580620000000.0,-256404000000.0,-176673000000.0,-29862000000.0,-630489000000.0,700817000000.0,-120197000000.0,17.25445625222843,False,False,-13.089790786135861,29.6,-10.6,-32.2,35.8,-6.1,-9.0,-1.5,8.6,27.2,-13.2
ABB,Private_3,2023,4335614000000.0,2758206000000.0,748954000000.0,-2252222000000.0,-1499348000000.0,584044000000.0,98107189000000.0,0.0195578130056053,3507160000000.0,-244410000000.0,828454000000.0,3997422000000.0,1702405000000.0,-2006536000000.0,-776913000000.0,488432000000.0,3765380000000.0,232042000000.0,82010652000000.0,0.0312453515301615,-490262000000.0,-1118361000000.0,-245686000000.0,-722435000000.0,340022000000.0,-1007174000000.0,516912000000.0,17.873339931939334,False,False,-65.69300489601476,-28.8,-56.9,20.0,-59.2,30.4,-14.5,-42.4,8.9,-68.1,-65.7
ABB,Private_3,2024,4520553000000.0,3035257000000.0,499749000000.0,-2364544000000.0,-1411791000000.0,744218000000.0,98738176000000.0,0.0182716786074015,3535006000000.0,-241329000000.0,985547000000.0,3507160000000.0,584044000000.0,-2252222000000.0,-1499348000000.0,828454000000.0,2758206000000.0,748954000000.0,98107189000000.0,0.0195578130056053,27846000000.0,160174000000.0,-112322000000.0,87557000000.0,157093000000.0,277051000000.0,-249205000000.0,0.6410991693911614,False,False,27.42498852826157,4.8,-4.3,26.9,47.4,-42.7,-19.2,15.0,0.3,47.1,27.4
ACB,Private_1,2018,14033199000000.0,10362920000000.0,1497526000000.0,-6712217000000.0,-932411000000.0,6388571000000.0,230527220000000.0,0.042353683431278,11860446000000.0,4215818000000.0,2172753000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
ACB,Private_1,2019,16097353000000.0,12112160000000.0,1896492000000.0,-8307596000000.0,-273821000000.0,7515936000000.0,268700541000000.0,0.0353934932131447,14008652000000.0,5427235000000.0,2088701000000.0,11860446000000.0,6388571000000.0,-6712217000000.0,-932411000000.0,2172753000000.0,10362920000000.0,1497526000000.0,230527220000000.0,0.042353683431278,2148206000000.0,1127365000000.0,-1595379000000.0,658590000000.0,-84052000000.0,1749240000000.0,398966000000.0,15.292948021774775,False,False,17.64659107647078,33.6,-14.7,-1.3,27.4,6.2,-25.0,10.3,7.6,19.8,17.6
ACB,Private_1,2020,18161309000000.0,14582123000000.0,1694654000000.0,-7624268000000.0,-941153000000.0,9595888000000.0,311478989000000.0,0.036499865669137,16276777000000.0,7711356000000.0,1884532000000.0,14008652000000.0,7515936000000.0,-8307596000000.0,-273821000000.0,2088701000000.0,12112160000000.0,1896492000000.0,268700541000000.0,0.0353934932131447,2268125000000.0,2079952000000.0,683328000000.0,-667332000000.0,-204169000000.0,2469963000000.0,-201838000000.0,14.746624376768342,False,False,27.67389184793484,30.2,0.2,-2.7,32.9,-2.7,9.1,-8.9,7.4,25.5,27.7
ACB,Private_1,2021,23563997000000.0,18944792000000.0,2893963000000.0,-8229776000000.0,-3336109000000.0,11998112000000.0,361912538000000.0,0.0401041190144977,21838755000000.0,10272870000000.0,1725242000000.0,16276777000000.0,9595888000000.0,-7624268000000.0,-941153000000.0,1884532000000.0,14582123000000.0,1694654000000.0,311478989000000.0,0.036499865669137,5561978000000.0,2402224000000.0,-605508000000.0,-2394956000000.0,-159290000000.0,4362669000000.0,1199309000000.0,14.978967503403112,False,False,25.033889516009356,58.0,-31.3,-1.7,45.5,12.5,-6.3,-25.0,7.5,38.0,25.0
ACB,Private_1,2022,28790067000000.0,23533529000000.0,3526244000000.0,-11605045000000.0,-70814000000.0,17114208000000.0,413706244000000.0,0.042589623951575,27059773000000.0,15383914000000.0,1730294000000.0,21838755000000.0,11998112000000.0,-8229776000000.0,-3336109000000.0,1725242000000.0,18944792000000.0,2893963000000.0,361912538000000.0,0.0401041190144977,5221018000000.0,5116096000000.0,-3375269000000.0,3265295000000.0,5052000000.0,4588737000000.0,632281000000.0,13.355454303580801,False,False,42.640842159166375,43.5,-0.9,0.0,38.2,5.3,-28.1,27.2,6.7,31.5,42.6
ACB,Private_1,2023,32746516000000.0,24959570000000.0,2922337000000.0,-10874286000000.0,-1804231000000.0,20067999000000.0,487601852000000.0,0.038635363203004,27881907000000.0,15203390000000.0,4864609000000.0,27059773000000.0,17114208000000.0,-11605045000000.0,-70814000000.0,1730294000000.0,23533529000000.0,3526244000000.0,413706244000000.0,0.042589623951575,822134000000.0,2953791000000.0,730759000000.0,-1733417000000.0,3134315000000.0,1426041000000.0,-603907000000.0,16.397413565449657,False,False,17.259291227499396,4.8,-5.9,18.3,8.3,-3.5,4.3,-10.1,8.2,0.1,17.2
ACB,Private_1,2024,33514759000000.0,27794702000000.0,3238785000000.0,-10902603000000.0,-1606285000000.0,21005871000000.0,580686248000000.0,0.0358462079538882,31033487000000.0,18524599000000.0,2481272000000.0,27881907000000.0,20067999000000.0,-10874286000000.0,-1804231000000.0,4864609000000.0,24959570000000.0,2922337000000.0,487601852000000.0,0.038635363203004,3151580000000.0,937872000000.0,-28317000000.0,197946000000.0,-2383337000000.0,2835132000000.0,316448000000.0,17.42683382881453,False,False,4.673470434197251,15.7,0.8,-11.9,14.1,1.6,-0.1,1.0,8.7,5.4,4.6
BAB,Private_3,2018,1996735000000.0,1698672000000.0,73004000000.0,-879857000000.0,-274412000000.0,842466000000.0,63979415000000.0,0.0026935025832776,1771676000000.0,617407000000.0,225059000000.0,,,,,,,,,,,,,,,,,,False,False,0.0,,,,,,,,,,
BAB,Private_3,2019,2192386000000.0,1966555000000.0,72725000000.0,-1103592000000.0,-154901000000.0,933893000000.0,72933312000000.0,0.0199045890869697,2039280000000.0,780787000000.0,153106000000.0,1771676000000.0,842466000000.0,-879857000000.0,-274412000000.0,225059000000.0,1698672000000.0,73004000000.0,63979415000000.0,0.0026935025832776,267604000000.0,91427000000.0,-223735000000.0,119511000000.0,-71953000000.0,267883000000.0,-279000000.0,13.079714641868174,False,False,10.8523073928206,31.8,-12.4,-8.5,31.8,-0.0,-26.6,14.2,6.5,25.3,10.9
BAB,Private_3,2020,2229528000000.0,2031071000000.0,59762000000.0,-1240389000000.0,-254326000000.0,734813000000.0,79440423000000.0,0.0186495878530068,2090833000000.0,596118000000.0,138695000000.0,2039280000000.0,933893000000.0,-1103592000000.0,-154901000000.0,153106000000.0,1966555000000.0,72725000000.0,72933312000000.0,0.0199045890869697,51553000000.0,-199080000000.0,-136797000000.0,-99425000000.0,-14411000000.0,64516000000.0,-12963000000.0,8.540987723376341,False,False,-21.317217282922133,5.5,-25.3,-1.5,6.9,-1.4,-14.6,-10.6,4.3,2.6,-21.3
BAB,Private_3,2021,2464088000000.0,2117228000000.0,64859000000.0,-1312134000000.0,-243589000000.0,908365000000.0,84598379000000.0,0.0183909393456305,2182087000000.0,626364000000.0,282001000000.0,2090833000000.0,734813000000.0,-1240389000000.0,-254326000000.0,138695000000.0,2031071000000.0,59762000000.0,79440423000000.0,0.0186495878530068,91254000000.0,173552000000.0,-71745000000.0,10737000000.0,143306000000.0,86157000000.0,5097000000.0,6.288702352264192,False,False,23.61852607398073,12.4,-8.3,19.5,11.7,0.7,-9.8,1.5,3.1,8.6,23.6
